WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
213,ARG,NGDP_R,Argentina,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2023,357.389,336.861,326.255,338.435,345.205,321.209,344.161,352.864,345.959,321.719,317.415,350.738,386.861,411.044,435.006,422.63,445.987,482.16,500.725,483.773,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.377,693.224,624.295,689.211,725.346,726.797,741.333,756.161,771.287,786.714,802.448,2021
213,ARG,NGDP_RPCH,Argentina,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.7,-5.744,-3.149,3.733,2,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.943,10.398,5.243,0.2,2,2,2,2,2,2021
213,ARG,NGDP,Argentina,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2023,--,--,--,--,0.001,0.006,0.011,0.026,0.124,3.628,77.06,202.256,253.395,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,349.486,420.292,485.115,582.538,715.904,896.98,"1,149.65","1,247.93","1,661.72","2,179.02","2,637.91","3,348.31","4,579.09","5,954.51","8,228.16","10,660.23","14,744.81","21,802.26","27,481.44","46,282.07","82,650.24","164,655.09","268,792.37","403,024.96","584,085.98","817,219.74","1,104,151.70",2021
213,ARG,NGDPD,Argentina,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,451.815,389.064,486.702,632.241,641.102,638.583,635.705,650.141,680.511,712.153,2021
213,ARG,PPPGDP,Argentina,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",172.522,177.997,183.044,197.314,208.525,200.165,218.786,229.867,233.316,225.476,230.785,263.638,297.418,323.499,349.671,346.845,372.716,409.894,430.468,421.755,427.907,418.256,378.498,420.534,470.303,527.986,588.077,658.373,698.222,661.108,736.799,797.264,819.698,849.616,839.897,867.177,885.228,"1,039.33","1,036.46","1,033.94",943.285,"1,088.15","1,225.43","1,274.81","1,329.11","1,381.45","1,435.33","1,490.64","1,549.11",2021
213,ARG,NGDP_D,Argentina,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",--,--,--,--,--,0.002,0.003,0.007,0.036,1.128,24.277,57.666,65.5,64.331,66.168,68.262,68.227,67.91,66.752,65.526,66.206,65.48,85.488,94.358,100,110.318,125.476,144.222,177.64,204.957,247.824,306.567,374.977,464.78,652.007,825.311,"1,164.67","1,467.56","2,084.43","3,145.05","4,402.00","6,715.23","11,394.59","22,654.88","36,257.97","53,298.85","75,728.74","103,877.67","137,597.94",2021
213,ARG,NGDPRPC,Argentina,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","12,786.71","11,840.46","11,277.39","11,534.94","11,568.52","10,583.48","11,195.87","11,349.75","10,993.31","10,097.88","9,757.62","10,638.09","11,575.75","12,118.96","12,662.81","12,151.83","12,671.67","13,542.17","13,906.94","13,290.99","13,048.00","12,347.75","10,897.11","11,761.97","12,690.70","13,682.99","14,640.50","15,802.84","16,282.96","15,170.84","16,439.06","17,226.27","16,856.72","17,070.07","16,459.21","16,727.44","16,207.20","16,492.07","15,898.09","15,425.98","13,754.60","15,034.49","15,666.09","15,542.01","15,695.89","15,851.31","16,008.32","16,166.84","16,326.90",2010
213,ARG,NGDPRPPPPC,Argentina,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,295.43","16,941.52","16,135.87","16,504.37","16,552.43","15,143.02","16,019.23","16,239.41","15,729.40","14,448.22","13,961.36","15,221.16","16,562.77","17,340.00","18,118.16","17,387.03","18,130.83","19,376.36","19,898.28","19,016.97","18,669.29","17,667.36","15,591.77","16,829.23","18,158.06","19,577.84","20,947.87","22,610.96","23,297.92","21,706.68","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,747.24","22,071.75","19,680.30","21,511.59","22,415.30","22,237.76","22,457.94","22,680.32","22,904.97","23,131.77","23,360.80",2010
213,ARG,NGDPPC,Argentina,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",--,--,0.001,0.004,0.03,0.195,0.363,0.839,3.946,113.877,"2,368.88","6,134.55","7,582.15","7,796.24","8,378.74","8,295.12","8,645.46","9,196.52","9,283.18","8,709.07","8,638.54","8,085.36","9,315.73","11,098.37","12,690.70","15,094.73","18,370.36","22,791.23","28,925.11","31,093.74","40,739.99","52,810.12","63,208.89","79,338.29","107,315.21","138,053.32","188,760.96","242,031.43","331,385.00","485,155.34","605,476.78","1,009,600.06","1,785,086.95","3,521,024.40","5,691,011.24","8,448,567.55","12,122,900.57","16,793,732.68","22,465,482.95",2010
213,ARG,NGDPDPC,Argentina,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,361.21","6,671.43","3,257.85","3,962.74","4,374.78","3,248.75","3,857.03","3,909.98","4,524.50","2,867.31","4,857.80","6,429.45","7,653.71","7,796.24","8,378.74","8,295.12","8,645.46","9,196.52","9,283.18","8,709.07","8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","10,616.95","13,655.20","13,709.49","13,520.40","13,326.20","13,493.90","13,984.39","14,489.74",2010
